text1,text2
妻贤家富贵,心静梦清凉
妈祖护航，摩平海浪通丝路,金瓯合璧，呼唤台澎返锦帆
央视赏联，红联对对传春意,银屏观戏，好戏台台颂党风
相遇是缘共行乐，快也,因联笔社送温馨，悦哉
重楼难锁长门怨,大雅不埋陋室铭
横舟钓雨龙王庙,修忍居然上帝挑
追梦周秦，十几亿炎黄故里,醉心典籍，五千年华夏源头
月夜无风香自远,雨天有泪恨流长
平地耸崇楼，敢与春潮争百丈,天翔兴骏业，愿同民祚共千秋
地在天中，四海名山为第一,心传言外，十方法教是初元
名医治病危，三更到院三更诊,圣药救伤亡，半夜敲门半夜开
自司马天长，线缆一根牛世界,由文风势足，对联两句火家园
澄清江水，洗亮九天悬日月,华丽家园，织成七彩灿城乡
党性为旗帜,民心是尺标
行孝守廉，人生凝聚正能量,崇真尚美，理想形成新坐标
网友同吟，思如江海长流水,联都喜庆，情满潇湘不夜天
高风吹梦想,牛人逞虎威
雅句会寻趣,胡言易倒霉
贵妇花钱焉手软,刁徒作案岂心慌
科学掌舵图强策,技术扬帆魅力源
白云无语陈天道,苍狗扬声啃日头
歌嘹亮,舞婆娑
情感交融，人间尽暖,爱心涌动，大地无寒
红日高照江山美,东风劲吹花木荣
中庭促膝三更话,秋榻倾心八月天
高台跳水,上海卷烟
植树造林，处处黄莺鸣翠海,防污治水，行行白鹭上青天
历尽沧桑，波澜不起,润泽心地，慧海同深
笔生豪气何关酒,日记春风未了情
五百年逃墨归儒，天使番王纳土,四十日修文偃武，我从漳海班师
雪月风花，春夏秋冬谁笔墨,云山烟雨，东西南北我涂鸦
剑吼西风，盖地劈天,犁耕垄亩，秋收冬藏
冰节正人先正己,丹心忧国更忧民
小山居里听秋雨,高岗言游看月花
竹韵松涛清自逸,风台月榭悄无言
羊毫彩绘上河景,椽笔大书正气篇
不辨风尘色,安知天地心
五湖齐赞西递美,四海同贺遗产多
斗室难厮打,开头理论说
舜日,尧天
乔百一,沈万三
亮剑龙江，万里长城永不倒,招魂凌水，一轮红日正东升
求佛之前，须摸着良心责己,出门以后，应换成笑脸对人
四面云山都到眼,万家忧乐最关心
山宾注著皕余卷,恭顺封侯一等功
江湖浪迹无为子,风雨萍踪得道人
花亚深秋悲冷色,谷欣稔岁泛金光
残月江心落,冷风谷底萦
常在智中求胜负,不于世外笑沉浮
山间醴涧邀仙沐,田里华章洗尘愁
尘外箫声起,耳边燕语清
互敬互尊侣，百年偕老,相亲相爱家，万代遐昌
百善孝为先，美德精传中国梦,千书名在后，佳章特写故乡情
游乐乎？出繁冗喧哗以外,观止矣！在虚无缥缈之间
好风飞下晴湍，看云独倚青松坐,游丝轻飏新霁，断虹低系碧山腰
松山雨纷纷，日祭忠魂驱虏事,潞水潮滚滚，时讴英烈卫国情
徘徊亘古,横绝世人
星月有意伴长夜,秋光无情摧落花
进去都是有缘客,归来何须别看山
暮蔼垂帘山渐隐,疏篱存照鸟归林
一溪春水一溪月,十里莺声十里烟
穿云明月悬高塔,摇橹轻舟过小河
爱竹少留枝带径,灌花分破著书功
红联续写吉祥句,细雨轻吟幸运歌
借满天月,读万卷书
故土情深，玉兰素雅乡愁漾,新城景颖，觉树清灵古韵长
风让日,火烧云
立品若清荷，不染心田泥半点,守操如劲竹，自撑风骨节千寻
春风掩映千门柳,暖雨催开万径花
龙津育桃李，桃李满天下,文昌踊栋梁，栋梁济国家
新村盈喜气,小院绕祥云
心中有鬼难安睡,行止无私自在游
喜喜忧忧三百首,兢兢业业几十年
长夜漫漫何日旦,春愁黯黯独成眠
板桥绘画梅兰竹,清照题词雪雨风
西风瘦马羌笛远,关山冷月鼙鼓近
间杂松涛弦隐约,徐行禅院月分明
天涯月好家山远,大漠村孤曲调悲
飘雪迎春，千树披银挂玉,斜阳向晚，一江镶钻烫金
篆文略辨周京作,法馔先从商鼎调
一卷尘氛外,千年刹那间
泉冷三更月,松清四季风
燕雀安知鸿鹄志,蟹虾难步蟒龙行
不求金玉重重贵,但愿子孙个个贤
绿叶红杆，出泥而不染,黄沙白月，入塞岂无思
白菊梳风香满袖,青松沐雨影及身
玉兔腾空，嫦娥翩舞探星宇,蛟龙跃海，航母漫游显国威
计利只计天下利,追功不追一人功
岁月如诗，谁人独秉生花笔,乾坤若器，哪个曾操琢玉刀
白云万里无羁客,翠柏一株有志人
乍雨乍晴春二月,好颜好色旦初时
云锦裁成花朵美,人间充满艳阳春
丽日沐和风，潮涌大河声带绿,灵猴携泰运，春盈中国梦飙红
几垛牛粪炫财富,十万金钱献佛祖
春花不住无情树,碧柳长依温顺溪
常与青山对,久同紫竹邻
海中筏，度大千世界,潮之音，了无量菩提
为文已变当时体,得路方知异日心
两鬓清霜心不老,一头白发气犹豪
却嫌脂粉污颜色,别有天地非人间
祥开黄道，三千诅咒皆能解,光映紫宸，廿八宿神各有司
题诗曾借湖山景,行墨欲求颜柳风
杨穿加冕全能手,威震仰天一世名
欲上青云风给力,如登黑道闪雷人
水光连听动,花风合树吹
奥林匹克,秘密对攻
春风故事轮回几,老板新人变换多
长虹气贯,春水冰为
轻取夕照水,无语下兰舟
彩袖迎风光俎豆,清歌弄月侑壶觞
扫地岂是般若体,闻雷方识祖师禅
布簟梅前，举盏焉无如约雪,支桌柳后，擎杯正有似醉人
时有春花开寂处,恰逢明月照西楼
生机孕句果然妙,出口成章实在狂
水映卿卿同月晤,鱼亲我我与星游
三农舞步伴龙起,万里春风顺义来
明月与谁相顾盼,春花同我互怜惜
舜耕一帘秀,佛醒万客心
金谷多财，栽勤植信玉方长,铜山种梦，浇善施仁花始开
储蓄健康，休闲娱乐,博观德润，生意恒昌
橹摇半壁湖山画,燕剪一堤杨柳烟
晓醒江楼，夺目一窗山水画,闲斟竹苑，怡情四壁管弦声
总统出家谁审核,主席演讲我帮腔
院中瘦梅着雪氅,窗外垂柳别春衣
诗情画意生妙趣,唐韵清风壮奇观
慈航普渡人间难,慧眼常观世上音
送君千尺伤心碧,寄月三分入梦寒
改革呼声高，老凤争鸣雏凤唱,腾飞接力快，大龙引导小龙来
昔岂无夫伤哉？字而未配,今犹是女邈乎？神已若仙
瑶琴多楚调,巧媛出吴闉
八仙故事源头，乐道聆听街巷里,半岛名楼画景，高悬矗立海天间
观胜景,上巅峰
美酒庆丰，九州月共三农醉,金蛇贺岁，四海波随百业腾
装白脸，饰红脸，戏中几脸唱三国,颂英雄，骂奸雄，世上双雄第一人
一壶山水唯君共,十里烟霞执手看
轩听小雨添愁绪,楼赏雪花逸情思
金牛发劲，国富民强辞旧岁,玉虎生威，年丰物阜贺新春
珍爱和平，警惕贼心不死,缅怀先烈，祈求壮志未眠
老秤一斤十六两,新规万秒廿三时
香茶一盏迎新客,薄酒三杯送旧人
有景相邀天下客,无盆不醉画中人
进退兼施兼退进,攻防并用并防攻
脚勤不怕千山远,怀恨未嫌十载长
居来幽谷黄花瘦,隐在深山银蕾妍
脚步踯躅因车故,兄台吝啬试金石
此去莫回头，林泉自有无尘处,从来未忘本，山野可容鄙俗人
昔日羞于谈远志,今时独爱策鸿图
英雄自古多磨难,阔佬从来不差钱
细雨穷驴轻载酒,暖风肥马喜闻鞭
晚景享安闲，众人献爱,髦年归极乐，万事顺心
地静人都逸,山青花欲燃
我虽爱民，毕竟见官非好事,尔如责己，须知恕彼得便宜
梦里情真切,花前意太虚
壑,沟
名校百年龙破壁,长风万里鹤冲天
童言稚语老人色,垢面蓬头隐士心
桃李第随春水绿,桑榆偏向夕阳红
青云紫气群龙会,满月桂香仙子居
临花傍月连清晓,把酒敲诗醉夕阳
梦绕千家常望月,情牵两岸倍思亲
双桨来时，与客携壶，醉卧酒炉侧,梅花过了，问春何在？云落小桥东
云淡风轻林道静,花香鸟语玉堂春
飞花自在秋风处,伤逝缤纷泪雨中
满山柏树云出岫,一路梅花雪打灯
几枝浓翠占春久,一缕清香醉我深
佛殿踞高山，只为法音能远播,禅灯燃永夜，但期尘世可长明
峰峦出岗岭，峻峭巍峨崇岱岳,河海润津沽，潆洄澎湃汇洪流
弘扬法治，国泰政通，神州增靓彩,倡树文明，风清气朗，湛水唱新歌
或许朦胧皆是幻,几番热烈又成灰
文移北斗成天象,月映东窗似玉轮
世界要和平，同盟战火前车鉴,国家谋发展，协约屠刀后辈师
顶烈日，踩烂泥，汗洒稻田成伟业,赤子心，学者气，君呈热血沃中华
送礼使冥钱，真行鬼道,炼丹烧凡汞，大有仙风
顾曲万花深，醉乡莫放笙歌歇,明夜扁舟去，平湖徙倚水云宽
风疏岸柳含情意,月眺江帆顾眷心
传佛祖心灯，法轮常转,授如来衣钵，后继有人
玉虎坠,金雁桥
我欲修仙，可堪化凤长栖此,君来寻胜，切莫惊雏误探巢
鹤比白云先上岗,我同明月共登楼
月作清凉无上主,云为寂寞个中人
峡长六十里，水秀山明，卧龙饮涧,崖象万千姿，峰奇石险，飞虎啸天
宝匣镜昏蝉鬓乱,彩云天远凤楼空
小种千江云作种,懒书一字月当书
须向尘中求不染,且来泉下睡逍遥
几树鹅黄春浅浅,千江鸭绿浪滔滔
古文故人做,一口日月明
爱情佳话流芳远,道德文章济世长
雨歇云还湿,风停水未平
菩萨不轻初学,如来常念众生
落花尚在君何往,醉梦犹存小曲来
待士慕谦让,立身贵廉明
蛇年斟满迎春酒,马岁编成圆梦图
野艾烧不尽,春风吹又青
万里江山披锦绣,十亿神州展鸿图
尽见人才皆北上,何愁江水不东流
出作落息，饮井食耕闲日子,更深月隐，苦读辞赋梦春秋
一脉花香蜂蝶恋,满园春色燕莺忙
秋后萧条绕高树,年前落魄减红包
心田种下悠然梦,眼界超出自在身
一缕轻云山海里,几声暮鼓竹林间
冷讽,热嘲
一口能喷二泉三江四海五湖水,无锡可补十窟百色千孔万象壶
破茧而飞，始信虫鱼皆造化,藏锋以养，应知天地有方圆
临风清俗虑,亲水远浮尘
一枕相思对月老,满腔热血育春浓
灵塔高标，舍利通灵生七彩,圣身永证，涅槃显圣达三乘
茹苦含辛坚壮志,冰清玉洁展高风
有的放矢,没精打采
杯酒亦无聊，座里青衫频顾望,江潮真有信，云中白鹤自归来
新水影摇双槛碧,旧山光映四围青
彩云薄晚苍凉，钩帘半亩藤花雨,青丝傍桥浅系，红锦障泥杏叶鞯
好句不妨灯下草,高年能辨雾中花
荆芥,秦艽
隋炀弑父为君，奚存孝道,吴起杀妻求将，丧尽天伦
贬,褒
因风起浪三千尺,由雨敲窗五百声
望月亭中杯满月,凌烟阁里桂生烟
惩腐除恶民心安,正本清源万木春
身无半亩,心忧天下
小伙子出嫁，打鼓敲锣，全村相送,大姑娘招亲，鸣鞭放炮，合队欢迎
过黑湾，爬鱼坳，一蓑烟雨一场梦,登金顶，拜弥勒，十指春风十万山
上网查经纶,开卷读山川
一入平湖厘作锦,见穿危岫以为衣
拜，请于斯拜,求，且向此求
歌飞远岫云留住,日落长河马饮来
如来对句观音阁,皇帝祈天社稷坛
太白伟奇诗浪漫,遂良潇洒墨圆通
作对报总报对作,回文年全年文回
春如佳酿醉诗心,句似清风淡雅人
剑气文光冲北斗,环山带水绕南台
寒蝉冷月秋风近,瘦马昏鸦古道行
入水不濡，入火不热,与子言孝，与父言慈
一身正气合民意,两袖清风顺党心
玉枕香蕊春宵梦，梦里桑田,盛世江户良辰天，天上人间
小心失足，免欲火焚身，前车可鉴,大胆回头，且金盆洗手，沧海能容
九天瑞气腾佳节,万里和风拂早春
越洋岂悦洋？豪情叩问通天术,留学非流学，壮志包涵中国心
听天籁，六根清净，志存高远,观宇寰，一目了然，心许久安
桃园结义分天下,柳毅传书到故乡
祖国铁龙阵,人民子弟兵
欲行长执手,当去莫回头
星临万户动,月傍九霄悬
五千年美德，洒向人间都是爱,廿四字箴言，融于心底即为春
叶落知风去,花飞觉梦空
白雪青峰千古秀,黄花绿水万家春
苦运匠心，一联雅致痴情琢,偶生灵感，两句清新快意吟
曾经一醉思乡夜,未闻三起望归人
半瓶开胃酒,一醉解心愁
赴四季情，箫引凤凰笛引客,撑一篙韵，梦还秦蜀月还乡
泉声穿曲径,雁影落平沙
牧夕阳，短笛横牛背,歌碧野，长鞭向草原
欣然向我话佳境,犹自吹笙醉碧桃
久盛巷,高第街
梅花几点补窗漏,风月无边随意游
春怀故园茶芽嫩,雨润大地谷穗香
栽桃李，植兰桂,传道德，举俊才
草木芳菲，蝶醉花风春缱绻,涟漪潋滟，云移水影月徘徊
小燕呢喃学对偶,鸳鸯游荡怕孤单
人生方九曲,世事已千回
天眼看人无雅俗,禅心入世即如来
登山拂日月,避世远风云
几点黄花霜打瘦,一山红叶雨洇肥
江中醉我三秋月,陌上寒心一季霜
泉冷古梅花，可与盟心惟白水,亭空孤鹤影，居然埋首共青山
莫忘空谈真误国,当知实干定兴邦
青藤若是不缠树,素月当非愿做媒
莫问花凋春去处,且观树茂夏来时
能将盛事添元化,未必余才解是非
百业飞歌，湖滨书写辉煌赋,千家筑梦，区市迎来发展潮
神灵宝相，北斗众星齐俯仰,法力周天，人间万类总归依
悒悒不乐,郁郁寡欢
随春误入桃花巷,摘月欲登燕子楼
流云怜月淡,漱石恨高岗
日暖华堂归紫燕,春来玉树发青枝
柳线轻垂牵水月,荷衣漫展碍莲舟
古寺千年松做伴,寒山百丈径扶摇
圣威无远近,龙剑有雌雄
送腊迎春，赢来新局面,以民为本，关注最基层
落照苍烟，江上客船帆渐远,朝晖危岭，松间云鹤影徐清
心著联，联悦心，心联媲美,画描景，景如画，画景迎宾
下笔无灵性,贪官有问题
云移花影动,日落鸟巢喧
山雨欲来，且休息片时，再朝金阙,岭云初上，看森严万象，争捧玉皇
几声子夜歌，惨惨凄凄郁郁,一阙章台柳，幽幽恨恨绵绵
秋删春夏冗繁句,孙抹祖坟惊世文
玉树歌残，莫愁紫燕卢家绕,春花曲荡，正好寒蟾桂子馨
迎新岁，举金杯，春满万户,贺丰年，展笑颜，喜盈千家
琦节凌嵩岳,大名薄风雷
暮秋枫叶飘愁绪,深夜昙花展素容
西施湖畔放长线,神女峰头裹白云
鹏程万里凌云志,伟业千秋揽月功
替圣化人归真源,仁智导民升天舟
满天瑞雪培元气,遍地春风焕生机
依法兴邦，国圆大梦展新彩,按规行政，民步小康开锦程
香逸遥天，看古浪翻腾花浪,客迷新景，将沙洲认作瀛洲
万里群山奔笔下,九州风雨到心头
归雁横秋,倦客思家
深院鸟声碎,高楼树影重
团花簇锦乾坤丽,积玉堆金日月辉
帝皇开国开皇帝,十八老乡老八十
假烟岂会无真害,劣酒居然有好评
青山入眼宛如画,碧水于心也是春
福地蕴灵岩，龙山萃锦,泉城聚丰德，题壁飞虹
一盏酒香勾月上,三分禅味沁花间
送去诚心酬四海,迎来信誉达三江
刺虐砭贪辛辣笔,为人处世坦诚心
高阁俯看，一江灯火,侧耳倾听，百味籁声
一拳星满目,两脚火填膺
近水遥山凝佛性,明窗净椅证禅心
凉风多剌意,爽雨总关情
一身傲骨难成就,半点灵犀早发飙
柔丝漫折长亭柳,侍女亲擎玉酒卮
锁梦茶歌莹玉露,含羞剪影滚春图
刘伶笑饮合君酒,李白高歌若水情
草木芳菲，蝶醉花风春缱绻,江山锦绣，蜂寻香蜜客缠绵
衲子泛舟，风吹杯中罗汉,佳人呵镜，云遮月里嫦娥
明月临窗，一枕乡愁人辗转,清风抚竹，无边落寞泪阑珊
分花月下，诗染芳香衣带水,置酒轩前，壶投雅巧共猜谜
四季甘霖，仙乐袅袅桃源村,千年古镇，福泽绵绵二头门
霜落心头雪,春开鬓角花
直呼有幸，偕同在下一天醉,可叹无能，识得此间万卷书
众目睽睽，君子动口又牵手,孤星朗朗，佳人交眸更贴心
投机取巧难长久,左道旁门走不通
碧树林中藏古寨,白云山上觅灵芝
几朵闲云游野寺,一轮冷月照寒江
啼鸟忽临涧,潜龙飞上天
金鸡报晓九州彩,玉宇澄清万里春
来宾行圣道,施礼获秦淮
喜看红楼，春梦催啼鸟,闲临墨池，思情赋笔端
一重阁高接紫气,九畹兰馨滋皇朝
残联难作对,瘸腿照登攀
生材会有用,回首得无忧
中天焕彩云霞丽,大地生辉日月明
人寿年丰，东风和煦农家暖,民安国泰，瑞雪纷飞赤县新
中枢按剑腐藏迹,德政生风廉出头
前贤大院留辉远,盛世高楼拓景宽
春满城乡，山色湖光皆入画,祥盈燕赵，民情风韵自成诗
室满春风联带翠,窗涵秀竹案生凉
水里捞月,雪上加霜
素书天上字,静韵风中弦
白发等闲就有,青春过后不来
若无一部计生法,定有亿名失业郎
百本文章树,千秋茉莉花
植柏栽松春意蕴,树人培德惠风传
倡廉反腐，旗帜火红，锤镰金灿,勤政爱民，沙丘树绿，雪域风和
七夕雨,一剪梅
春风入喜财入户,玉兔还宫客还乡
就业广开门，市循其道皆为场,跳槽同在意，人尽所能即是才
荒鸡啼野店,游子梦家乡
旧岁尽时春入梦,鲜花艳处蝶开心
东风拂蕊桃花艳,细雨梳春扬柳新
无端寂寞蚀于骨,这份相思生了根
天外春回，处处河山添异彩,人间岁换，家家丝管祝鸿禧
春风送暖，千红万紫皆春色,腊月凌寒，独秀群芳有腊梅
鲁迅骨头硬,范曾学问深
一时国粹，各路方家荟璨,万代中华，满天日月星光
欣然迈出从容步,豁达看开混沌天
父授真传无患子,客谋高就不求人
妙玉,宝钗
香风洗礼身心净,杂念消除天地宽
抬头但见舜之日,扑面而来王者风
四处逢迎谄媚，难言低调,一时得意忘形，未免俗流
转绿回黄春手笔,卧红眠翠雨行当
水漫金山，净土木鱼香火乱,霜侵雾都，斜风细雨冰雪寒
呆子登门来贺寿,奸臣上殿去邀功
千载传承，始叫花城越秀,三江汇聚，以成南国中枢
挖蛀虫，树清廉，与民换得宽宽路,肃贪吏，反腐败，为国赢来朗朗天
帘外风初定,闺中梦正酣
开席三杯酒,收场一碗汤
志继前贤弘国粹,范流后世誉联坛
茶香一抹随心淡,酒老三杯伴意浓
家家户户，羞羞答答，吞吞吐吐,校校班班，坦坦荡荡，讲讲学学
横笛引来云入袖,吟风邀得月萦怀
风拨柳弦湖记谱,月敲蛙鼓水传声
浓墨一池，饱蘸羊毫书福字,春光万里，欣怀国梦迈新程
一壶老酒酬山水,三径故园负庙堂
脱颖锋芒露,超凡气度添
莺弄簧，柳堆烟，春醉中原大地,岳为笔，河作砚，诗吟祖国明天
杨阴掩江外,华事集仙家
冬至一阳生，闻风而动梅先怒,春耕万象荣，戴月披星足下行
深居鬼谷，纵横天下,游走哨岗，巡逻边防
引得金鸡啼春晓,自有凤凰落庭台
绿春长驻人康健,红日高悬业盛昌
把心交付百分百,与爱相邀七月七
华夏山清，仙乡胜境,云中水秀，宝地新都
文人常作对,武士更相轻
满目山河空见远,一坛风雨不闻萧
梵音愉悦，近耳聆听佛教诲,法雨温馨，亲身感悟世超脱
心仪景忠，千里禅缘随心至,目仰化境，一山灵秀入目来
碧玉三千垂柳岸,金光万丈耀山川
格外垂青格外怜，勿把芳心空负,特别看重特别爱，应将美意尽收
云中看风景，浮光掠影皆妙谛,雾里听流声，玉宇琼楼不胜寒
金风漫舞竹香子,玉笛横吹蝶恋花
明月临窗，一枕乡愁人辗转,寒秋入目，千般乏味我迷茫
协力齐心，步履雄开奔路广,同舟共济，商机妙握聚财丰
廿年心血浇成字,一卷缥缃岂止诗
住新楼，日日登高观美景,逢盛世，年年享福乐华春
珠玉九天，元音谐乐律,笙簧六籍，太室饫谟觞
民肥官瘦党风正,世盛人和国运昌
身外微名闲置酒,山中甲子好读书
情燃爆竹玫瑰，双节元春同日至,岁迭丑牛寅虎，满门瑞气应时来
在天观雨沉思远,于野望云彩气纷
冷雨侵阶苔泣泪,凄风落絮柳惊魂
闲扫白云寻鸟迹,自锄明月种梅花
旧地重游,妙趣横生
有担当，有追求，千秋长盛,除贫困，除腐败，万众皆歌
牛石留踪，自向人间耕日月,仙家对弈，何须枰上计输赢
碧野青蝈鸣翠豆,明霞白鹤闹清波
宝砚岂容留宿墨,桃花依旧笑春风
春催柳绿迎新岁,雨沐桃红靓小康
未报前恩，顿成永别,追寻遗绪，皆为悲端
路有殊途，须知远小人亲君子,学无止境，但求明大理懂常情
八阵图中绝妙计,七巧节里玲珑心
偶有清风拂乱绪,诸多况味倚黄昏
夜雨敲窗花落泪,晨霜铺地雁启程
操笔遗篇留碣石,关心仗义放华容
狄首领侯封周代,梁国公相任唐朝
凄凉霜叶随流水,寂寞寒蝉傍落花
共仰稼轩道学,咸称起季直言
约得清风陪贵客,斟来桂酒醉红颜
烟波远处江湖老,繁花开时春意浓
礼貌经商，衡量度公平交易,文明待客，老中青一视同仁
多士登瀛成国器,黄公硕老护瓯强
青嶂平开云外壁,绿萝倒挂镜中天
香逾淡处偏成蜜,色到真时欲化云
黑土制墨，毛竹制笔，心音随意写,白水为泉，山石为岩，木门寄闲思
信手拈来萧伯纳,高牛送去郑君绵
结婚登喜路,赴宴敬嘉宾
愿人间铁血长销，冤亲平等,祝我佛金身不坏，信仰自由
地震惊呆日本,浪潮搅乱埃及
无花不世界,有物尽东西
白雪碧峰飞索道,悬崖深谷涌清泉
尝百草，研百草，妙手回春传百草,舍千金，著千金，良方济世胜千金
清江水湛鱼翔底,烟雨雾茫柳扫堤
秋雨潇潇，烂漫黄花铺满径,春风阵阵，玲珑嫩芽挂新枝
昭明逢圣代,雪月助宏才
心中有秤知轻重,脚下无根定晃摇
时际上元，玉烛长调千古乐,月当五夜，花灯遍照万家春
爱我中华多美梦,莫衷一是尽黄粱
公主嫁主公--谁悲谁喜,文成难成文--细虑细思
汇聚祥和人气,开张鼎盛新元
曾是梅花清胜雪,又看新月淡如眉
从来寂寞难求味,自古相思易白头
千秋毁誉一抔土,半世功名无字碑
春花吐艳香千里,快马加鞭跃九州
临风杨柳腰肢软,点水蜻蜓逸致高
梅妻侍笔，虽在尘中轻世味,椹果供亲，更于色别显乌忱
万里慎行船，正气扬帆，忠心掌舵,一生勤扫室，清风在案，明月当窗
前程纵有千般险,斗志始终一样浓
溅玉东江撩梦早,法兰西海啸心惊
上马杀贼，下马作露布,左手持螯，右手执酒杯
云集仙灵，乩馆真言匡盛世,泉津善信，玉台圣水度苍生
游万景奇峰，仙泉入梦,聚四时佳气，老树回春
班荆道故千杯少,脱骨换胎百日功
闲云几朵游山水,窃电百度论过失
芳意饶呈瑞,瑶华自满枝
山有色,水无声
追风骏马绝尘去,噪月寒鸦怯露生
欣培桃李成栋梁,爱写诗文润校园
携秀穿林留倩影,抛球接彩恋乡风
倡廉反腐千秋业,定距立规百世功
凌风知劲节,负霜见直心
赫赫师尹,明明鲁侯
真如镜,超然堂
散十方天女花，超离诸苦,洒一滴甘露水，救济群生
茅亭石濑泉声过,薤簟湘帘日影斜
头逐芦花白,心先桐叶秋
一帘妙曲新弦夜,半本奇书八角楼
楚凤有心，忍辱偷生沽美誉,吴牛喘月，垂头丧气好伤怀
一帘纱幔风撩乱,半窗竹影月朦胧
玉振金声，法治弘公平正义,春风雨露，民生享幸福华年
细肉白皮膘水好，质量保证,兼瘦搭肥斤两足，服务热情
江月照人舟已倦,汀烟锁柳梦微潮
姬姓开宗首源古,牛车灌水五谷丰
土成上院除夕梦,春染东江汗水流
制定措施须有力,违规教授脸丢光
一池碧水吟莲韵,两岸清风舞柳魂
手举鸡毛当令箭,脚登人肋上官阶
风行万里云为翼,日出千山月是朋
手握钓杆生死柄,胸有成竹智谋人
老死不同名利近,平生唯爱竹梅邻
宅旁绿化，化去千家病苦,屋院整洁，洁来万户健康
周礼贯通千古事,斌才融汇百家言
下网后头昏脑胀,上台时眼亮心明
狂书万言，曾将水土达苍古,清歌一曲，欲把浮生问碧霄
玄奘植娑罗，心生善果,菩提开智慧，世纳福音
故地故人稀，明月多情如故,秋风秋水澈，莼鲈逸味知秋
一叶轻舟临碧海,三千弱水入红尘
武汉凭武昌，雄踞武林门派之首,文成因文安，深藏文渊阁楼当中
花燃暮院空啼鸟,蛋作早点填饿肠
笔下无争名利事,杯中不尽苦愁情
魏了翁讲学之区，鹤鸣子和,尹伯奇抚琴于此，山高水长
泉石弹琴静,松涛奏月听
雁字横空天布阵,柳丝钓水岸排兵
月隐竹间作诗影,梅藏雪下留笑颜
德养群生，化育乾坤成大道,心融万法，耕耘岁月启新程
国泰民安衣食足,庭深院静住行优
隐听江声，未倾竹叶三分醉,浅尝肉味，且啖豆花一碗香
